category,latitude,longitude
3,-89.296875,-62.9296875
3,-89.296875,-61.875
3,-89.296875,-60.8203125
3,-89.296875,-59.765625
3,-89.296875,-58.7109375
3,-89.296875,-57.65625
3,-89.296875,-56.6015625
3,-89.296875,-55.546875
3,-89.296875,-54.4921875
3,-89.296875,-53.4375
3,-89.296875,-52.3828125
3,-89.296875,-51.328125
3,-89.296875,-50.2734375
3,-89.296875,-49.21875
3,-89.296875,-48.1640625
3,-89.296875,-47.109375
3,-89.296875,-46.0546875
3,-89.296875,-45.0
3,-89.296875,-43.9453125
3,-89.296875,-42.890625
3,-89.296875,-41.8359375
3,-89.296875,-40.78125
3,-89.296875,-39.7265625
3,-89.296875,-38.671875
3,-89.296875,-37.6171875
3,-89.296875,-36.5625
3,-89.296875,-35.5078125
3,-89.296875,-34.453125
3,-89.296875,-33.3984375
3,-89.296875,-32.34375
3,-89.296875,-31.2890625
3,-89.296875,-30.234375
3,-89.296875,-29.1796875
3,-89.296875,-28.125
3,-88.9453125,-97.734375
3,-88.9453125,-96.6796875
3,-88.9453125,-95.625
3,-88.9453125,-94.5703125
3,-88.9453125,-93.515625
3,-88.9453125,-92.4609375
3,-88.9453125,-91.40625
3,-88.9453125,-90.3515625
3,-88.9453125,-89.296875
3,-88.9453125,-88.2421875
3,-88.9453125,-87.1875
3,-88.9453125,-86.1328125
3,-88.9453125,-85.078125
3,-88.9453125,-84.0234375
3,-88.9453125,-82.96875
3,-88.9453125,-81.9140625
3,-88.9453125,-80.859375
3,-88.9453125,-79.8046875
3,-88.9453125,-78.75
3,-88.9453125,-77.6953125
3,-88.9453125,-76.640625
3,-88.9453125,-75.5859375
3,-88.9453125,-74.53125
3,-88.9453125,-73.4765625
3,-88.9453125,-72.421875
3,-88.9453125,-71.3671875
3,-88.9453125,-70.3125
3,-88.9453125,-69.2578125
3,-88.9453125,-68.203125
4,-88.9453125,-67.1484375
4,-88.9453125,-66.09375
4,-88.9453125,-65.0390625
4,-88.9453125,-63.984375
4,-88.9453125,-62.9296875
4,-88.9453125,-61.875
4,-88.9453125,-60.8203125
4,-88.9453125,-59.765625
4,-88.9453125,-58.7109375
4,-88.9453125,-57.65625
4,-88.9453125,-56.6015625
4,-88.9453125,-55.546875
4,-88.9453125,-54.4921875
4,-88.9453125,-53.4375
4,-88.9453125,-52.3828125
4,-88.9453125,-51.328125
4,-88.9453125,-50.2734375
4,-88.9453125,-49.21875
4,-88.9453125,-48.1640625
4,-88.9453125,-47.109375
4,-88.9453125,-46.0546875
4,-88.9453125,-45.0
4,-88.9453125,-43.9453125
4,-88.9453125,-42.890625
4,-88.9453125,-41.8359375
4,-88.9453125,-40.78125
4,-88.9453125,-39.7265625
4,-88.9453125,-38.671875
4,-88.9453125,-37.6171875
4,-88.9453125,-36.5625
4,-88.9453125,-35.5078125
4,-88.9453125,-34.453125
4,-88.9453125,-33.3984375
4,-88.9453125,-32.34375
4,-88.9453125,-31.2890625
4,-88.9453125,-30.234375
4,-88.9453125,-29.1796875
4,-88.9453125,-28.125
4,-88.9453125,-27.0703125
4,-88.9453125,-26.015625
4,-88.9453125,-24.9609375
4,-88.9453125,-23.90625
4,-88.9453125,-22.8515625
4,-88.9453125,-21.796875
4,-88.9453125,-20.7421875
4,-88.9453125,-19.6875
3,-88.9453125,-18.6328125
3,-88.9453125,-17.578125
3,-88.9453125,-16.5234375
3,-88.9453125,-15.46875
3,-88.9453125,-14.4140625
3,-88.9453125,-13.359375
3,-88.9453125,-12.3046875
3,-88.9453125,-11.25
3,-88.9453125,-10.1953125
3,-88.9453125,-9.140625
3,-88.9453125,-8.0859375
3,-88.9453125,-7.03125
3,-88.9453125,-5.9765625
3,-88.9453125,-4.921875
3,-88.9453125,-3.8671875
3,-88.59375,-99.84375
3,-88.59375,-98.7890625
3,-88.59375,-97.734375
3,-88.59375,-96.6796875
3,-88.59375,-95.625
3,-88.59375,-94.5703125
3,-88.59375,-93.515625
3,-88.59375,-92.4609375
3,-88.59375,-91.40625
3,-88.59375,-90.3515625
3,-88.59375,-89.296875
3,-88.59375,-88.2421875
3,-88.59375,-87.1875
3,-88.59375,-86.1328125
3,-88.59375,-85.078125
3,-88.59375,-84.0234375
3,-88.59375,-82.96875
3,-88.59375,-81.9140625
3,-88.59375,-80.859375
3,-88.59375,-79.8046875
3,-88.59375,-78.75
3,-88.59375,-77.6953125
3,-88.59375,-76.640625
3,-88.59375,-75.5859375
3,-88.59375,-74.53125
3,-88.59375,-73.4765625
3,-88.59375,-72.421875
3,-88.59375,-71.3671875
4,-88.59375,-70.3125
4,-88.59375,-69.2578125
4,-88.59375,-68.203125
4,-88.59375,-67.1484375
4,-88.59375,-66.09375
4,-88.59375,-65.0390625
4,-88.59375,-63.984375
4,-88.59375,-62.9296875
4,-88.59375,-61.875
4,-88.59375,-60.8203125
4,-88.59375,-59.765625
4,-88.59375,-58.7109375
4,-88.59375,-57.65625
4,-88.59375,-56.6015625
4,-88.59375,-55.546875
4,-88.59375,-54.4921875
4,-88.59375,-53.4375
4,-88.59375,-52.3828125
4,-88.59375,-51.328125
5,-88.59375,-50.2734375
5,-88.59375,-49.21875
5,-88.59375,-48.1640625
5,-88.59375,-47.109375
5,-88.59375,-46.0546875
5,-88.59375,-45.0
4,-88.59375,-43.9453125
4,-88.59375,-42.890625
4,-88.59375,-41.8359375
4,-88.59375,-40.78125
4,-88.59375,-39.7265625
4,-88.59375,-38.671875
4,-88.59375,-37.6171875
4,-88.59375,-36.5625
4,-88.59375,-35.5078125
4,-88.59375,-34.453125
4,-88.59375,-33.3984375
4,-88.59375,-32.34375
4,-88.59375,-31.2890625
4,-88.59375,-30.234375
4,-88.59375,-29.1796875
4,-88.59375,-28.125
4,-88.59375,-27.0703125
4,-88.59375,-26.015625
4,-88.59375,-24.9609375
4,-88.59375,-23.90625
4,-88.59375,-22.8515625
4,-88.59375,-21.796875
4,-88.59375,-20.7421875
4,-88.59375,-19.6875
